algorithm,expression_str
baseline_solvable,-x*(2/(x**2*log(-x/3)) + 2/(x**2*log(-x/3)**2))*log(-x/3)/2
baseline_solvable,(sin(x) - 1)/x - (-x - cos(x) + 1)/x**2
baseline_solvable,1 + (1 - tanh(log(x) + 3)**2)/x
baseline_solvable,-1 - tanh(4)/(x**2*log(x)) - tanh(4)/(x**2*log(x)**2)
baseline_solvable,(-1 + 3/x**2)*(x - 5)/(x + 3/x)**2 + 1/(x + 3/x)
baseline_solvable,-3*x/(1 - x)**2 - 3/(1 - x)
baseline_solvable,-5/x**2
baseline_solvable,2*x/sqrt(1 - x**4)
baseline_solvable,-4*x**3 + cosh(x) - 1
baseline_solvable,((1 - x)*log(3)*sin(x) - log(3**(-cos(x))))*(3**(-cos(x)))**(1 - x)
baseline_solvable,x**x*(x**x - 5)**cos(1)*(log(x) + 1)*cos(1)*cos((x**x - 5)**cos(1))/(x**x - 5)
baseline_solvable,x*(-1 + 5/((x**2 + 1)*atan(x)**2))/(x**x*(x + 5/atan(x))**2) + x*(-log(x) - 1)/(x**x*(x + 5/atan(x))) + 1/(x**x*(x + 5/atan(x)))
baseline_solvable,-x + (-x - cosh(4)/3)*(exp(x) + 1) - exp(x)
baseline_solvable,2 - 5/x**2 + 1/(2*sqrt(x))
baseline_solvable,(1 - tanh(x + (x + tan(x))*sinh(2))**2)*((tan(x)**2 + 2)*sinh(2) + 1)
baseline_solvable,-(1 - tanh(cosh(1)**(-x - 3) - 3)**2)*log(cosh(1))*cosh(1)**(-x - 3)/2
baseline_solvable,-2*5**(2*x)*log(5)*sinh(5**(2*x))/x**2 + 2*cosh(5**(2*x))/x**3
baseline_solvable,-2*(x**x*(log(x) + 1)*sin(x**x) - 3)/(3*x + cos(x**x))**2
baseline_solvable,1/x - (x - 7 + cosh(5))/x**2
baseline_solvable,2*(tan(sinh(x + 5))**2 + 1)*cosh(x + 5) + 2/x
baseline_solvable,3*x*exp(3*x)*sinh(1)/4 + exp(3*x)*sinh(1)/4
baseline_solvable,-(-x - 8)**log(x)*(-log(x)/(-x - 8) + log(-x - 8)/x)/4
baseline_solvable,-x**2*(x*log(5)/log(5**x) + log(log(5**x)))*log(5**x)**x - 2*x*log(5**x)**x + 1
baseline_solvable,-2*(-1 - 1/x)/((1 + 4/(x + log(x) + tan(5))**2)*(x + log(x) + tan(5))**2)
baseline_solvable,-1 + 1/(2*(-1)**(4*cosh(1))*sqrt(x))
baseline_solvable,-(tan(1/(16*x**2))**2 + 1)/(8*x**3)
baseline_solvable,3*sqrt(x)/sqrt(1 - x**2) + 3*asin(x)/(2*sqrt(x))
baseline_solvable,-(-x*(x*(log(x) + 1)/2 + log(x**x)/2)*(x**x)**(x/2)/((x**x)**(x/2) - 1)**2 + 1/((x**x)**(x/2) - 1))*sin(x/((x**x)**(x/2) - 1))
baseline_solvable,-x**x*(log(x) + 1)*sin(x**x)/(3*x + log(x)) + (-3 - 1/x)*cos(x**x)/(3*x + log(x))**2
baseline_solvable,-x**x*(log(x) + 1)*log(x + sin(x)) - x**x*(cos(x) + 1)/(x + sin(x)) + 1
baseline_solvable,(-log(x) - 1)*asin(4)/x**x
baseline_solvable,-exp(x)/4
baseline_solvable,(2*x - 5)*exp(x*(x - 5))/x - exp(x*(x - 5))/x**2
baseline_solvable,(8*x - 4)/sqrt(-16*x**2*(x - 1)**2 + 1) - 5/x**2
baseline_solvable,1 - (-x*sin(sinh(x))*cosh(x) + cos(sinh(x)))/(x**2*cos(sinh(x))**2 + 1)
baseline_solvable,x*((x/(x - 1))**x + 5)**x*(x*(x/(x - 1))**x*((x - 1)*(-x/(x - 1)**2 + 1/(x - 1)) + log(x/(x - 1)))/((x/(x - 1))**x + 5) + log((x/(x - 1))**x + 5)) + ((x/(x - 1))**x + 5)**x
baseline_solvable,x*x**(-2*x - 10)*(-2*log(x) + (-2*x - 10)/x) + x**(-2*x - 10) - 1
baseline_solvable,3*sqrt(3)*sqrt(x**3)/(2*x*sqrt(1 - 3*x**3))
baseline_solvable,-(1 - x)**cosh(tanh(3))*cosh(tanh(3))/(1 - x)
baseline_solvable,1 - 16/(x*log(x)**2)
baseline_solvable,atan(x**(-3)) - 3/(x**3*(1 + x**(-6)))
baseline_solvable,3**x*log(3)*cosh(3**x) + 4/3
baseline_solvable,(-5*x)**(log(x)*tan(sqrt(3)))*(log(-5*x)*tan(sqrt(3))/x + log(x)*tan(sqrt(3))/x)
baseline_solvable,x**(sqrt(x + 1) + 1)*(log(x)/(2*sqrt(x + 1)) + (sqrt(x + 1) + 1)/x) - 1
baseline_solvable,-3*cosh(x**(-3))/(x**4*(sinh(x**(-3))**2 + 1))
baseline_solvable,1 + 5*cos(5*x + 20)/(2*sqrt(sin(5*x + 20)))
baseline_solvable,1 - 5*(log(x) + 1)/(x*sqrt(-x**2*log(x)**2 + 1)*asin(x*log(x))**2) - 5/(x**2*asin(x*log(x)))
baseline_solvable,log(sinh(4))*sinh(4)**x
baseline_solvable,(2 + 1/sqrt(1 - x**2))/atan(x) - (2*x + asin(x) - 4)/((x**2 + 1)*atan(x)**2)
baseline_solvable,(-x)**(-x - 4)*(x*(-x)**(x + 4)*(log(-x) - (-x - 4)/x) + (-x)**(x + 4)) + log(x*(-x)**(x + 4))
baseline_solvable,-124/(125*sqrt(1 - 15376*x**2/15625))
baseline_solvable,x*(1 - tanh(exp(x))**2)*exp(x) + tanh(exp(x)) - 1
baseline_solvable,2*cosh(2*x) - sqrt(-x)/(2*x)
baseline_solvable,-cosh(x)*cosh(sinh(x)) - 1/3
baseline_solvable,2*(-log(-x))**x*(log(-log(-x)) + 1/log(-x))
baseline_solvable,(1 - tanh(x)**2)/(sqrt(1 - (log(tanh(x)) - asin(tanh(4)))**2)*tanh(x))
baseline_solvable,x**(x*asin(3*x))*((3*x/sqrt(1 - 9*x**2) + asin(3*x))*log(x) + asin(3*x))
baseline_solvable,3*x**2*log(x) + x**2
baseline_solvable,tan(x)**2 + 2 + sin(5)**5/(x*x**(sin(5)**5))
baseline_solvable,(-tan(x + 4)**2 - 1)*log(x) - tan(x + 4)/x
baseline_solvable,-exp(x) - 1
baseline_solvable,64*log(x)/((x**2 + 1)*atan(x)**2) - 64/(x*atan(x))
baseline_solvable,(-4*x/(pi*(4*x/pi + 3)**2) + 1/(4*x/pi + 3))/((x**2/(4*x/pi + 3)**2 + 1)*atan(x/(4*x/pi + 3)))
baseline_solvable,x**(3*x)*(3*log(x) + 3)*exp(x**(3*x))
baseline_solvable,1 + (2*x**2)**x*(log(2*x**2) + 2)/x - ((2*x**2)**x - 1)/x**2
baseline_solvable,(8**tan(x)*(tan(x)**2 + 1)*log(8) + 1)*exp(8**tan(x) + x)
baseline_solvable,sin(x) - 1/sqrt(1 - x**2) + 1/x
baseline_solvable,2*(4*x/(-4*x - 16)**2 + 1/(-4*x - 16))*exp(x/(-4*x - 16))
baseline_solvable,x**(x - x**(3*x**3))*((-x**(3*x**3)*(9*x**2*log(x) + 3*x**2) + 1)*log(x) + (x - x**(3*x**3))/x)
baseline_solvable,x**x*(log(x) + 1) - tan(x)**2 - 1
baseline_solvable,-3/(x**2*(x**2 + 1)) + 6*atan(x)/x**3
baseline_solvable,(-2*x*cosh(x*asin(2)))**x*(-(-2*x*sinh(x*asin(2))*asin(2) - 2*cosh(x*asin(2)))/(2*cosh(x*asin(2))) + log(-2*x*cosh(x*asin(2))))
baseline_solvable,-2**(sin(x)/(-x)**x)*((-log(-x) - 1)*sin(x)/(-x)**x + cos(x)/(-x)**x)*log(2)
baseline_solvable,-(-x/4 - 1)**(log(5)*sinh(5))*log(5)*sinh(5)/(4*(-x/4 - 1))
baseline_solvable,-1 + (-4*log(x)/5 - 4/5)/x**(4*x/5) - 1/(2*sqrt(x))
baseline_solvable,cos(x)*cos(sin(x))*cos(sin(sin(x)))
baseline_solvable,(tan(20)/x - log(exp(x))*tan(20)/x**2)*exp(x)**(tan(20)/x)
baseline_solvable,5/sqrt(1 - (5*x + 2)**2)
baseline_solvable,-x**(-x + exp(x))*((exp(x) - 1)*log(x) + (-x + exp(x))/x) - 1
baseline_solvable,(1 - tanh(x)**2)*exp(atan(tanh(x)))/(tanh(x)**2 + 1) - 1
baseline_solvable,5*atan(5)/((-5*x - 3)*(-5*x - 3)**atan(5))
baseline_solvable,-1/(2*x**2)
baseline_solvable,3**log(x)*log(3)/x + x**x*(log(x) + 1) + 1
baseline_solvable,2*sinh(2*x)/x - (cosh(2*x) - 1)/x**2
baseline_solvable,-2 - 2*(x**(x - 2)*(log(x) + (x - 2)/x)/2 + 1/2)/sqrt(x + x**(x - 2))
baseline_solvable,-50*sin(x - 4)**24*cos(x - 4)
baseline_solvable,-2*3**x*log(3) + 2*sin(x)
baseline_solvable,-(1 - tanh((x + 1)**tan(x))**2)*(x + 1)**tan(x)*((tan(x)**2 + 1)*log(x + 1) + tan(x)/(x + 1))
baseline_solvable,(x**4*(-4*log(x) - 4)/(1296*x**(4*x)) + x**3/(324*x**(4*x)))*(tan(x**4/(1296*x**(4*x)))**2 + 1)
baseline_solvable,-(tan(x + 3*tan(x) - atan(x))**2 + 1)*(3*tan(x)**2 + 4 - 1/(x**2 + 1))
baseline_solvable,"AccumBounds(-pi/2, pi/2)/x**2"
baseline_solvable,3**(x + 1/asin(log(x)))*(1 - 1/(x*sqrt(1 - log(x)**2)*asin(log(x))**2))*log(3)
baseline_solvable,x**((4*x - 3)/x)*((4/x - (4*x - 3)/x**2)*log(x) + (4*x - 3)/x**2)
baseline_solvable,-(1 - tanh(tan(x + 6) + 5)**2)*(tan(x + 6)**2 + 1)
baseline_solvable,4*cos(x) - 4
baseline_solvable,x*sqrt(-atan(x - sin(x)))*(1 - cos(x))/(2*((x - sin(x))**2 + 1)*atan(x - sin(x))) + sqrt(-atan(x - sin(x))) - 1
baseline_solvable,-(x - 5)*(-x/((x**2 + 1)*atan(x)) - log(atan(x)))/(4*atan(x)**x) + 1 - 1/(4*atan(x)**x)
baseline_solvable,1 + 1/(x**2*tan(15)**5)
baseline_solvable,(2*x + 1)/x**256 - 256*(x**2 + x - 5)/x**257
baseline_solvable,(x + cosh(sin(5)))**tanh(1)*tanh(1)/(x + cosh(sin(5)))
baseline_solvable,-3**sinh(x)*x*log(3)*cosh(x)/sinh(4) - 3**sinh(x)/sinh(4)
baseline_solvable,((x*(tan(x)**2 + 1) + tan(x))*exp(x*tan(x)) + exp(x))*cosh(exp(x) + exp(x*tan(x)))
baseline_solvable,(x*x**x*(log(x) + 1) + x**x)*cos(x*x**x - 2)
baseline_solvable,(-tanh(5*x))**exp(5*x)*(-(5*tanh(5*x)**2 - 5)*exp(5*x)/tanh(5*x) + 5*exp(5*x)*log(-tanh(5*x)))
baseline_solvable,-exp(x)/(-exp(x) - 4 - tan(2))
baseline_solvable,exp(x) - tanh(2)/x**2
baseline_solvable,(tan(x)**2 + 1)*sin(1)/sin(exp(2))
baseline_solvable,-5*sinh(cosh(3))/x**sinh(cosh(3)) + 5/x**sinh(cosh(3))
baseline_solvable,1/(x**2 + 1)
baseline_solvable,1 - (1/(x*sqrt(1 - (x + 3)**2)) - asin(x + 3)/x**2)/(1 + asin(x + 3)**2/x**2)
baseline_solvable,4**(2 - x)*(tan(x/9)**2/9 + 1/9) - 4**(2 - x)*log(4)*tan(x/9)
baseline_solvable,x**atan(4*x**2 + x - 1)*((8*x + 1)*log(x)/((4*x**2 + x - 1)**2 + 1) + atan(4*x**2 + x - 1)/x)
baseline_solvable,cos(x) + cosh(x)/x - (sinh(x) + 1)/x**2
baseline_solvable,(tan(cosh(exp(x) + 7))**2 + 1)*exp(x)*sinh(exp(x) + 7)
baseline_solvable,24*x**2*exp(8*x**3*tanh(4)**3)*tanh(4)**3/sqrt(1 - exp(16*x**3*tanh(4)**3))
baseline_solvable,(3*sqrt(x))**exp(-x/4)*(-exp(-x/4)*log(3*sqrt(x))/4 + exp(-x/4)/(2*x))
baseline_solvable,1/4 + 1/(x*(x**2 + 1)) - atan(x)/x**2
baseline_solvable,-8*sin(log(sinh(2*x)))*cosh(2*x)/sinh(2*x)
baseline_solvable,1 - 1/x**(3/2)
baseline_solvable,-2*x*(cos(x) - 1)/(x - sin(x))**2 + 1 - 2/(x - sin(x))
baseline_solvable,-2*x*(1 + x**(3*x)*(3*log(x) + 3)/x**3 - 3*x**(3*x)/x**4) - 2*x - 2*x**(3*x)/x**3
baseline_solvable,(-x*(-3 - sin(5))/((x**2 + 1)*atan(x)**2) + (-3 - sin(5))/atan(x))*atan(x)/(x*(-3 - sin(5)))
baseline_solvable,tan(3 - 1/x) + 4 + (tan(3 - 1/x)**2 + 1)/x
baseline_solvable,-(4**x*log(4) + x**(x**x)*(x**x*(log(x) + 1)*log(x) + x**x/x))*tanh(1)
baseline_solvable,1 - sin(1/(3*sqrt(x)))/(6*x**(3/2))
baseline_solvable,-cosh(x + 3)/(4**x + asin(x)) - (-4**x*log(4) - 1/sqrt(1 - x**2))*sinh(x + 3)/(4**x + asin(x))**2
baseline_solvable,-x*(1/5 - x/5)/(x + 4)**2 - x/(5*(x + 4)) + (1/5 - x/5)/(x + 4)
baseline_solvable,x*(-3*x*(5 - x) + (3*x**2 - 6*x*(5 - x))*log(x))/x**(3*x**2*(5 - x)) + x**(-3*x**2*(5 - x))
baseline_solvable,-3*x**2*sin(x**3) + 1
baseline_solvable,(1 - 5/x**2)/x - (x + sin(8) + 5/x)/x**2
baseline_solvable,exp(-x/6)/3
baseline_solvable,1 - 2*(-4 - 1/x)/x**3 + x**(-4)
baseline_solvable,x**((-x - 2)**7)*(-7*(-x - 2)**6*log(x) + (-x - 2)**7/x)
baseline_solvable,5**(x - cos(log(x)))*(1 + sin(log(x))/x)*log(5)
baseline_solvable,-3**x*x*log(3)*cosh(3**x)/sinh(3**x)**2 + 1/sinh(3**x)
baseline_solvable,x/sqrt(1 - (x - 5)**2) + asin(x - 5) - 1
baseline_solvable,x**(-144*x - 144)*(-144*log(x) + (-144*x - 144)/x)
baseline_solvable,(tan(x)**2/2 + 1/2)/(5*sqrt(tan(x)))
baseline_solvable,1 - x**(-3 - asin(asin(3)))*(-3 - asin(asin(3)))/x
baseline_solvable,(2*x - cosh(2))*(tan(cosh(x*(x - cosh(2))))**2 + 1)*sinh(x*(x - cosh(2)))
baseline_solvable,1 - sinh(x)
baseline_solvable,-(x**2/(1 - x**2)**(3/2) + 1/sqrt(1 - x**2))*cos(x/sqrt(1 - x**2)) + 1
baseline_solvable,(2*x + 1)*sinh(x**2 + x + 4)*cosh(cosh(x**2 + x + 4))
baseline_solvable,(x*x**(x**x))**(x + 4)*(log(x*x**(x**x)) + (x + 4)*(x*x**(x**x)*(x**x*(log(x) + 1)*log(x) + x**x/x) + x**(x**x))/(x*x**(x**x)))/3
baseline_solvable,8 - 8*x
baseline_solvable,x**2/2 + x*(x - 5)
baseline_solvable,(-3*x*(tanh(x)**2 - 1)/(tanh(x) + 1)**2 - 1 - 3/(tanh(x) + 1))/(x + 3*x/(tanh(x) + 1))**2
baseline_solvable,10*sin(2*x) + 1
baseline_solvable,x*(-1 + 3/sqrt(1 - (x + 5)**2))*exp(-x + 3*asin(x + 5)) + exp(-x + 3*asin(x + 5))
baseline_solvable,5*x**4
baseline_solvable,log(2/x) + 1
baseline_solvable,-log(tanh(asin(3)/5))*tanh(asin(3)/5)**x
baseline_solvable,-8*tan(2*x/3 + 1)**2/3 - 5/3
baseline_solvable,2*x**log(x)*log(x)*cosh(x**log(x)/125)/(125*x*sinh(x**log(x)/125))
baseline_solvable,-x*((tan(x)**2 + 1)*log(tan(x)) + tan(x)**2 + 1)*tan(x)**tan(x)*asin(5) - tan(x)**tan(x)*asin(5)
baseline_solvable,-sin(x + 6) - 1
baseline_solvable,(atan(x)/x)**sin(x)*(x*(1/(x*(x**2 + 1)) - atan(x)/x**2)*sin(x)/atan(x) + log(atan(x)/x)*cos(x))/3
baseline_solvable,-cosh(atan(x))/(3*sqrt(1 - sinh(atan(x))**2/9)*(x**2 + 1))
baseline_solvable,tan(x)**2
baseline_solvable,-(5/(x*(x - pi + 4)) - 5*log(x - pi + 4)/x**2)*(x - pi + 4)**(5/x)
baseline_solvable,-tanh(cosh(3/2))/x**2
baseline_solvable,x**(x*(-2 - cos(4)) + 4)*((-2 - cos(4))*log(x) + (x*(-2 - cos(4)) + 4)/x)
baseline_solvable,exp(x) - 1
baseline_solvable,3*3**(3/x)*log(3)*sin(3**(3/x)/5)/(5*x**2)
baseline_solvable,10*cos(2*x - 4)
baseline_solvable,10*sqrt(-cosh(5*x))*sinh(5*x)/(pi*cosh(5*x))
baseline_solvable,2*x + 3/((3*x - 5)**2 + 1)
baseline_solvable,-(5 + x**(-3))*sinh(2) + 1 + 3*sinh(2)/x**3
baseline_solvable,tan(4)*sinh((x - 4)*tan(4))
baseline_solvable,-1/(2*sqrt(-asin(x - 5))*sqrt(1 - (x - 5)**2)*asin(x - 5))
baseline_solvable,3*log(cosh(1))*cosh(1)**(3*x + 3)
baseline_solvable,(1 + 1/sqrt(1 - x**2))/(cos(5) + 7)
baseline_solvable,(12*x + 1)*cosh(x) + (6*x**2 + x)*sinh(x)
baseline_solvable,x/(9*(x**2 + 1)*atan(x)**2) - 1 - 1/(9*atan(x))
baseline_solvable,-5*x*(-tan(x)**2 - 1)/tan(x)**2 - 5/tan(x)
baseline_solvable,-1/(-x - 4 + sqrt(2))
baseline_solvable,2*x/5 + tanh(cosh(3))/5
baseline_solvable,sinh(sinh(asin(x)) - exp(-2))*cosh(asin(x))/sqrt(1 - x**2)
baseline_solvable,-x*(-1/x - (-x - 1)/x**2)*tanh(asin(tanh(3)))/(((-x - 1)/x)**tanh(asin(tanh(3)))*(-x - 1))
baseline_solvable,1/x
baseline_solvable,3*x*(1 - 4*exp(4*x - 5))/(-x + exp(4*x - 5))**2 + 3/(-x + exp(4*x - 5))
baseline_solvable,8*sin(4*x + 1)*sinh(cos(4*x + 1) + 3)/cosh(cos(4*x + 1) + 3)**2
baseline_solvable,2*2**(2*x)*x*log(2)*log(5) + 2**(2*x)*log(5)
baseline_solvable,(9 - 3/x + 3*(x - 3)/x**2)*exp((-3*x + (x - 3)/x)**(-3))/(-3*x + (x - 3)/x)**4
baseline_solvable,-sin(3)*cos(sin(3)/(sqrt(x) - atan(4)))/(2*sqrt(x)*(sqrt(x) - atan(4))**2)
baseline_solvable,-x**3*(tan(sin(x))**2 + 1)*cos(x)/tan(sin(x))**2 + 3*x**2/tan(sin(x)) + 1
baseline_solvable,(-2/asin(x))**((-tan(5))**x)*((-tan(5))**x*log(-tan(5))*log(-2/asin(x)) - (-tan(5))**x/(sqrt(1 - x**2)*asin(x)))
baseline_solvable,(cos(cosh(x))*sinh(x) - 2)/x - (-2*x + sin(cosh(x)))/x**2
baseline_solvable,(-log(x**(-12))*cosh(x) + 12*sinh(x)/x)/(x**(-12))**sinh(x)
baseline_solvable,-(-4 + 3/x**4)/(x*(-4 - 1/x**4))
baseline_solvable,4*x**3*sin(tanh(tan(3)))
baseline_solvable,-(2 - x)/(x - 1)**2 - 1/(x - 1)
baseline_solvable,3**x*log(3) - 1
baseline_solvable,(2 - x)*sinh(log(log(-1/(x - 2))) + 5)/((x - 2)**2*log(-1/(x - 2)))
baseline_solvable,(1/2 + 2/x**2)*exp(-5)/(-x + 4 + 4/x)**(3/2)
baseline_solvable,(-2*x - 1)*atan(3) - 1
baseline_solvable,(1 - cos(x))/sqrt(1 - (x - sin(x))**2)
baseline_solvable,-sinh(x)/cosh(x) + tanh(x)**2
baseline_solvable,-2*x*(-tan(x)**2 - 1)*log(-5/x)/tan(x)**2 - 2*log(-5/x)/tan(x) + 2/tan(x)
baseline_solvable,-3*x*(-tan(x)**2 - 1)/tan(x)**2 + 6*x/(x**4 + 1) - 3/tan(x)
baseline_solvable,(1 - 1/(2*sqrt(x)))*tan(5)
baseline_solvable,x**((-x - 10)*cos(2))*(-log(x)*cos(2) + (-x - 10)*cos(2)/x)*exp(x**((-x - 10)*cos(2)))
baseline_solvable,(-4*x*(x - 5)/(x + 1) + (20 - 8*x)*log(x + 1))/(x + 1)**(4*x*(x - 5))
baseline_solvable,atan(cosh(1))/(x*sqrt(1 - x**2)) - asin(x)*atan(cosh(1))/x**2
baseline_solvable,4**x*(-2 + sinh(5))*log(4)
baseline_solvable,(-tan(2))**x*log(-tan(2))*cos(4/5)
baseline_solvable,(cos(2)/tan(sin(x)))**(3**x)*(-3**x*(tan(sin(x))**2 + 1)*cos(x)/tan(sin(x)) + 3**x*log(3)*log(cos(2)/tan(sin(x))))
baseline_solvable,(x*sin(3))**(-5 - 5/asin(4))*(-5 - 5/asin(4))/x
baseline_solvable,-(x*(1 + 1/x) + x + log(x))/((x*(x + log(x)) + 5)**2 + 1)
baseline_solvable,2*x*exp(12)
baseline_solvable,32*x*sinh(tanh(1))**2/25
baseline_solvable,tan(x)**2 + 1
baseline_solvable,-(2*x + 1)*(tan(x**2 + x)**2 + 1) + 1
baseline_solvable,(x**2 - 4)/(x*(x**2/3 - 4))
baseline_solvable,-sin(1)*sinh(x)/x + sin(1)*cosh(x)/x**2
baseline_solvable,-4*tanh(5)/x**2
baseline_solvable,-x**x*(log(x) + 1)*atan(x)/tanh(4) + (-x**x - 4)/((x**2 + 1)*tanh(4))
baseline_solvable,-1/(x + 4) - (-x - sinh(5) + 4)/(x + 4)**2
baseline_solvable,1/(x**2 + 1) + 3*sinh(x)/x - 3*cosh(x)/x**2
baseline_solvable,2**(2**(tanh(x) + atan(x + 2)))*2**(tanh(x) + atan(x + 2))*(-tanh(x)**2 + 1 + 1/((x + 2)**2 + 1))*log(2)**2
baseline_solvable,3*sin(3*x)/sqrt(1 - cos(3*x)**2) + 3*sin(3*x)*cos(3*x)**2/(1 - cos(3*x)**2)**(3/2)
baseline_solvable,-1 + 30/x**2
baseline_solvable,(-(log(x)/2 + 1/2)*sqrt(x**x)/x + sqrt(x**x)/x**2)/(x*(-2 + sqrt(x**x)/x)**2) - 1/(x**2*(-2 + sqrt(x**x)/x))
baseline_solvable,exp(x) + 1 - sinh(x)/(4*(cosh(x)**2/16 + 1))
baseline_solvable,-2*x*(log(x**2) + 2)*(x**2)**x*exp(-2/cos((x**2)**x))*sin((x**2)**x)/cos((x**2)**x)**2 + exp(-2/cos((x**2)**x))
baseline_solvable,-sin(x)*sin(cos(x))*cos(3*x)/cos(cos(x))**2 - 3*sin(3*x)/cos(cos(x))
baseline_solvable,-5*x*sin(x)**asin(5)*cos(x)*asin(5)/sin(x) - 5*sin(x)**asin(5)
baseline_solvable,(-x**(x**x)*(x**x*(log(x) + 1)*log(x) + x**x/x)/x**2 + 2*x**(x**x)/x**3)*exp(-x**(x**x)/x**2)
baseline_solvable,1 + 1/(2*sqrt(1 - x**2)*sqrt(asin(x)))
baseline_solvable,cosh(x)
baseline_solvable,x*(-x*cosh(x)/sinh(x)**2 + 1/sinh(x)) + x/sinh(x) + 1
baseline_solvable,-4*2**x*log(2)
baseline_solvable,(x/(x**2 + 1) + atan(x))*sin(x*atan(x)) - 1
baseline_solvable,x*(-x*(-x*(x*(tan(x)**2 + 1) + tan(x))*sin(x*tan(x))/cos(x*tan(x)) + log(cos(x*tan(x)))) - log(cos(x*tan(x))**x))/(cos(x*tan(x))**x)**x + (cos(x*tan(x))**x)**(-x)
baseline_solvable,-x/(x - 2*cos(exp(-2) + 1))**2 + 1/(x - 2*cos(exp(-2) + 1))
baseline_solvable,x**x*(log(x) + 1)
baseline_solvable,(4*tanh(x)**2 - 4 - 28*(-log(x) - 1)/x**x)/(tanh(x) + 7/x**x)**5
baseline_solvable,((tan(exp(x))**2 + 1)*exp(x) - 2)/(-2*x + tan(exp(x)))
baseline_solvable,-x**(x - 5)*(log(x) + (x - 5)/x)
baseline_solvable,-x**(5/x)*(-5*log(x)/x**2 + 5/x**2)/(-log(x) - 2) + (-x**(5/x) - 5)/(x*(-log(x) - 2)**2)
baseline_solvable,x*exp(x)/sinh(cosh(cos(3))) + exp(x)/sinh(cosh(cos(3)))
baseline_solvable,(tan(x)**2 + 1 + 25/x**2)*cos(tan(x) - 25/x)
baseline_solvable,-(-x + tan(5) + tanh(5))**asin(3)*asin(3)/(-x + tan(5) + tanh(5))
baseline_solvable,43046721*(-4*tan(x)**2 - 4)/tan(x)**5
baseline_solvable,-1/x**2
baseline_solvable,-10/x
baseline_solvable,(x**x*(log(x) + 1)*log(sin(3*x/2)) + 3*x**x*cos(3*x/2)/(2*sin(3*x/2)))*sin(3*x/2)**(x**x)
baseline_solvable,-4*5**(-4*x - 1)*log(5)
baseline_solvable,((tan(x)**2/2 + 1/2)/sqrt(tan(x)) - 1/log(x) + log(x)**(-2))/(-x/log(x) + sqrt(tan(x)))
baseline_solvable,x**(-3 - 1/sqrt(x))*((-3 - 1/sqrt(x))/x + log(x)/(2*x**(3/2))) - 1
baseline_solvable,-15*(tan(exp(-5 + x**(-3)))**2 + 1)*exp(-5 + x**(-3))*sinh(tan(exp(-5 + x**(-3))))/x**4
baseline_solvable,(1 - tanh(x*(exp(sin(x)) - 3))**2)*(x*exp(sin(x))*cos(x) + exp(sin(x)) - 3)
baseline_solvable,-4*x/(4 - x)**2 + x**x*(log(x) + 1) - 4/(4 - x)
baseline_solvable,(tan(5**x*x**2*sinh(x))**2 + 1)*(5**x*x**2*log(5)*sinh(x) + 5**x*x**2*cosh(x) + 2*5**x*x*sinh(x))
baseline_solvable,1/3 - tanh(x/3)**2/3
baseline_solvable,x*sinh(x - 1) + (1 - tanh(x)**2)*cosh(tanh(x)) + cosh(x - 1)
baseline_solvable,-tan(1)*asin(5 - tan(1))/x**2
baseline_solvable,-6 + 6/sqrt(1 - x**2)
baseline_solvable,2*x*cos(x**2 - 5)
baseline_solvable,-(4 - 2*exp(sqrt(x))/sqrt(x))*sin(4*x - 4*exp(sqrt(x)))
baseline_solvable,2*tan(2*x + 1)**2 + 2
baseline_solvable,-x**x*(log(x) + 1) - 1
baseline_solvable,2*sqrt(-sin(4*x - 5))*cos(4*x - 5)/sin(4*x - 5)
baseline_solvable,(1 - tanh(x**2/4 - x)**2)*(1 - tanh(tanh(x**2/4 - x))**2)*(x/2 - 1)
baseline_solvable,(x*(-2**x*(1 - tanh(2**x)**2)*log(2) - 5/x**2)/(-tanh(2**x) + 5/x) + log(-tanh(2**x) + 5/x))*(-tanh(2**x) + 5/x)**x
baseline_solvable,2*x + pi/2
baseline_solvable,-2*2**x*log(2)/pi + 1 - 1/(2*sqrt(x))
baseline_solvable,(4 - 1/(x**2 + 1))/((4*x - atan(x))**2 + 1)
baseline_solvable,-2*x + tan(x)**2 - 1
baseline_solvable,5*x**exp(x)*(exp(x)*log(x) + exp(x)/x)/4
baseline_solvable,(15*x + 15*log(exp(x)))*exp(x)**(15*x)
baseline_solvable,x*(tan(x)**2 + 1)*(tan(tan(x))**2 + 1)*cos(tan(tan(x)))/(sin(tan(tan(x)))**2 + 1) + atan(sin(tan(tan(x)))) - 4
baseline_solvable,1 - pi/(12*x**2)
baseline_solvable,cos(x)/(-x + tan(2*x)) + (-2*tan(2*x)**2 - 1)*sin(x)/(-x + tan(2*x))**2
baseline_solvable,-6*x
baseline_solvable,1 - 1/sqrt(1 - x**2)
baseline_solvable,(1 - tanh(sinh(x*sin(x) - 1))**2)*(1 - tanh(tanh(sinh(x*sin(x) - 1)))**2)*(x*cos(x) + sin(x))*cosh(x*sin(x) - 1)
baseline_solvable,1/(2*(x - 3)*sqrt(log(x - 3)))
baseline_solvable,-sinh(log(x))/(x*((cosh(log(x)) + 4)**2 + 1))
baseline_solvable,1 + 1/(-x + sqrt(5))
